Running feature generation
[483/5000] baseline | unsolvable | ETA 300.2min
[484/5000] baseline | unsolvable | ETA 299.8min
[485/5000] baseline | unsolvable | ETA 299.2min
[486/5000] baseline | unsolvable | ETA 298.5min
[487/5000] baseline | ok | ETA 297.8min
[488/5000] baseline | unsolvable | ETA 297.2min
[489/5000] baseline | unsolvable | ETA 296.6min
[490/5000] baseline | ok | ETA 295.9min
[491/5000] baseline | unsolvable | ETA 295.3min
[492/5000] baseline | ok | ETA 294.6min
[493/5000] baseline | ok | ETA 293.9min
[494/5000] baseline | unsolvable | ETA 293.3min
[495/5000] baseline | unsolvable | ETA 292.7min
[496/5000] baseline | unsolvable | ETA 292.0min
[497/5000] baseline | unsolvable | ETA 291.5min
[498/5000] baseline | unsolvable | ETA 291.1min
[499/5000] baseline | unsolvable | ETA 290.5min
[500/5000] baseline | unsolvable | ETA 290.0min
[501/5000] baseline | ok | ETA 289.3min
[502/5000] baseline | ok | ETA 288.7min
[503/5000] baseline | unsolvable | ETA 288.9min
[504/5000] baseline | unsolvable | ETA 288.2min
[505/5000] baseline | ok | ETA 287.6min
[506/5000] baseline | ok | ETA 287.0min
[507/5000] baseline | unsolvable | ETA 286.4min
[508/5000] baseline | unsolvable | ETA 285.8min
[509/5000] baseline | unsolvable | ETA 285.2min
[510/5000] baseline | ok | ETA 284.6min
[511/5000] baseline | unsolvable | ETA 284.0min
[512/5000] baseline | unsolvable | ETA 283.4min
[513/5000] baseline | unsolvable | ETA 282.8min
[514/5000] baseline | unsolvable | ETA 282.2min
[515/5000] baseline | unsolvable | ETA 281.6min
[516/5000] baseline | ok | ETA 281.0min
[517/5000] baseline | unsolvable | ETA 280.5min
[518/5000] baseline | ok | ETA 280.5min
[519/5000] baseline | ok | ETA 279.9min
[520/5000] baseline | unsolvable | ETA 279.3min
[521/5000] baseline | ok | ETA 278.7min
[522/5000] baseline | unsolvable | ETA 278.2min
[523/5000] baseline | unsolvable | ETA 277.6min
[524/5000] baseline | unsolvable | ETA 277.1min
[525/5000] baseline | ok | ETA 276.5min
[526/5000] baseline | ok | ETA 275.9min
[527/5000] baseline | ok | ETA 275.3min
[528/5000] baseline | unsolvable | ETA 274.7min
[529/5000] baseline | unsolvable | ETA 274.2min
[530/5000] baseline | ok | ETA 273.6min
[531/5000] baseline | unsolvable | ETA 273.0min
[532/5000] baseline | unsolvable | ETA 272.7min
[533/5000] baseline | unsolvable | ETA 272.2min
[534/5000] baseline | unsolvable | ETA 271.7min
[535/5000] baseline | ok | ETA 271.1min
[536/5000] baseline | unsolvable | ETA 270.6min
[537/5000] baseline | ok | ETA 270.0min
[538/5000] baseline | unsolvable | ETA 269.5min
[539/5000] baseline | unsolvable | ETA 268.9min
[540/5000] baseline | ok | ETA 268.4min
[541/5000] baseline | unsolvable | ETA 270.9min
[542/5000] baseline | unsolvable | ETA 270.3min
[543/5000] baseline | unsolvable | ETA 269.8min
[544/5000] baseline | unsolvable | ETA 269.2min
[545/5000] baseline | ok | ETA 268.8min
[546/5000] baseline | unsolvable | ETA 268.2min
[547/5000] baseline | unsolvable | ETA 267.7min
[548/5000] baseline | unsolvable | ETA 267.1min
[549/5000] baseline | unsolvable | ETA 266.6min
[550/5000] baseline | ok | ETA 266.1min
[551/5000] baseline | unsolvable | ETA 265.7min
[552/5000] baseline | unsolvable | ETA 265.2min
[553/5000] baseline | unsolvable | ETA 264.7min
[554/5000] baseline | unsolvable | ETA 264.2min
[555/5000] baseline | ok | ETA 263.7min
[556/5000] baseline | unsolvable | ETA 263.1min
[557/5000] baseline | ok | ETA 262.6min
[558/5000] baseline | unsolvable | ETA 262.1min
[559/5000] baseline | ok | ETA 261.6min
[560/5000] baseline | unsolvable | ETA 261.1min
[561/5000] baseline | unsolvable | ETA 260.7min
[562/5000] baseline | unsolvable | ETA 260.2min
[563/5000] baseline | unsolvable | ETA 259.7min
[564/5000] baseline | unsolvable | ETA 259.2min
[565/5000] baseline | unsolvable | ETA 258.7min
[566/5000] baseline | ok | ETA 258.2min
[567/5000] baseline | unsolvable | ETA 265.6min
[568/5000] baseline | unsolvable | ETA 265.1min
[569/5000] baseline | unsolvable | ETA 264.6min
[570/5000] baseline | unsolvable | ETA 264.1min
[571/5000] baseline | unsolvable | ETA 263.6min
[572/5000] baseline | ok | ETA 263.2min
[573/5000] baseline | ok | ETA 262.7min
[574/5000] baseline | ok | ETA 262.2min
[575/5000] baseline | unsolvable | ETA 261.7min
